file_name,party_name,left_right,current_seats_hop,percent_votes
BBB,Boeren Burger Beweging,right_wing,7,4.6
D66,Democraten 66,left_wing,9,6.3
FVD,Forum voor Democratie,right_wing,3,2.2
NSC,Nieuw Sociaal Contract,right_wing,20,12.8
PVDA_GL,Partij van de Arbeid en GroenLinks,left_wing,25,15.8
PVDD,Partij van de dieren,left_wing,3,2.3
PVV,Partij van de vrijheid,right_wing,37,23.5
SGP,De Staatkundig Gereformeerde Partij,right_wing,3,2.1
SP,Socialistische Partij,left_wing,5,3.1
VVD,De Volkspartij voor Vrijheid en Democratie,right_wing,24,15.2
